zip_code_prefix;city;state;geom;geog;latitude_avg;longitude_avg
14409;franca;SP;;;-20.509897499999997;-47.3978655
9790;sao bernardo do campo;SP;;;-23.72685273154166;-46.54574582941039
1151;sao paulo;SP;;;-23.527788191788307;-46.66030962184773
8775;mogi das cruzes;SP;;;-23.49693002789165;-46.185351975305366
13056;campinas;SP;;;-22.98722237101393;-47.151072819246686
89254;jaragua do sul;SC;;;-26.46850294670808;-49.109883098307336
4534;sao paulo;SP;;;-23.58454739993657;-46.67456147821567
35182;timoteo;MG;;;-19.57988226206472;-42.64592409589202
81560;curitiba;PR;;;-25.49685252123605;-49.20902332180169
30575;belo horizonte;MG;;;-19.97007559893824;-43.97959527560735
39400;montes claros;MG;;;-16.718833477927223;-43.8691627456287
20231;rio de janeiro;RJ;;;-22.91164122453689;-43.18354724508045
18682;lencois paulista;SP;;;-22.60405058635247;-48.795055606488425
5704;sao paulo;SP;;;-23.62882679156327;-46.71923267485142
95110;caxias do sul;RS;;;-29.184320575640843;-51.23000145931209
13412;piracicaba;SP;;;-22.693073720785986;-47.65447299085341
22750;rio de janeiro;RJ;;;-22.947654111027692;-43.33860615583707
7124;guarulhos;SP;;;-23.42468549125742;-46.53172199125743
5416;sao paulo;SP;;;-23.555014909804324;-46.69227418471917
68485;pacaja;PA;;;-3.6998579999999457;-50.50819699999997
88034;florianopolis;SC;;;-27.57865911904912;-48.50709600207745
74914;aparecida de goiania;GO;;;-16.754277274281105;-49.271002399443695
5713;sao paulo;SP;;;-23.62510448987245;-46.72835260796926
82820;curitiba;PR;;;-25.424755962259752;-49.2010723395753
8225;sao paulo;SP;;;-23.524074769667923;-46.45826882323692
9121;santo andre;SP;;;-23.687193239224257;-46.498261391639694
74310;goiania;GO;;;-16.704177885673925;-49.30012373064592
4571;sao paulo;SP;;;-23.61202394892955;-46.695471966703145
29311;cachoeiro de itapemirim;ES;;;-20.84794302015016;-41.146180998853126
5528;sao paulo;SP;;;-23.593395634841325;-46.757875363396
12235;sao jose dos campos;SP;;;-23.229954502914183;-45.89422359824575
18130;sao roque;SP;;;-23.53626695697963;-47.13489184347044
42800;camacari;BA;;;-12.703900871300451;-38.326472028106345
27525;resende;RJ;;;-22.47805071801601;-44.50608144601535
